cloud_cover,season,location,temp,humidity,wind_speed,precipitation_pct,atm_pressure,uv_index,visibility_km
Cloudy,Summer,Rural,7.830850270801002,55.561256380610956,6.7048415933241,91.73580787188014,1026.7968665825356,3.564372061862291,2.5683771524633405
Cloudy,Autumn,Rural,39.76774737189446,37.64202445295432,11.908765764020572,81.89759367549159,954.7784976585036,6.344931990645467,0.5713460300902695
Cloudy,Winter,Urban,9.407219904679556,2.662436477311436,6.322667638165078,16.318089235945177,907.1746348727146,6.959149821705131,3.8770822445994337
Cloudy,Summer,Urban,9.559454877706042,49.41491215472047,6.925008478562907,2.4154769854872082,939.6218679595853,6.561078343231951,3.5709674751640352
Clear,Winter,Rural,25.16399323308808,83.47150934934146,4.8966361691416616,78.46536271628383,969.5800740177808,1.516095673981014,9.863841429851597
Clear,Winter,Urban,29.39810306572558,36.69873300102526,13.95900329964002,26.485737895719865,1004.0032589245607,6.798011262112383,9.395906372601996
Clear,Summer,Urban,27.53377532268815,51.538211224090816,4.241616627828291,33.93670563513426,947.0155130101289,5.428100623225453,5.827752235696256
Cloudy,Summer,Rural,1.2452299367050879,47.23791254252798,5.345863366529189,81.43695851106332,969.3805182778235,1.5797333725647644,9.93103133776424
Cloudy,Summer,Rural,36.1005537299414,38.615208845684734,7.477881574350558,80.74547158600521,1022.9531479028749,0.3390408038786583,9.899145005412969
Clear,Summer,Rural,11.45741311649417,74.41370044402956,11.461770135658686,49.35616367989356,1002.6736537649517,10.330713005611782,8.650563741225072
